mcc	acc	f1	f1_weighted	precision	recall	auroc	tp	tn	fp	fn	name	variables	representation	fold	run
0.021551742383811762	0.5182998819362455	0.42209631728045327	0.5093416552678924	0.48534201954397393	0.37343358395989973	0.49941818832796275	149	290	250	158	knn	{'n_neighbors': 66, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 91, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	esm2-8m	2	3
0.009355094795012116	0.5171192443919717	0.353870458135861	0.4917318271136887	0.47863247863247865	0.2807017543859649	0.49738744181883277	112	326	287	122	knn	{'n_neighbors': 66, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 91, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	esm2-8m	3	3
0.014318724965163156	0.5177304964539007	0.38368580060422963	0.5002916719453028	0.4810606060606061	0.31909547738693467	0.4944701184493898	127	311	271	137	knn	{'n_neighbors': 66, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 91, 'p': 2, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': 10}	esm2-8m	4	3
0.6059135247341944	0.8028335301062574	0.7950920245398773	0.8030008664040517	0.7769784172661871	0.8140703517587939	0.868065270674083	324	356	74	93	rf	{'n_estimators': 11, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'class_weight': 'balanced', 'ccp_alpha': 8.930674050346171e-07, 'n_jobs': 10}	ecfp-8-1024	0	4
0.5537085218389474	0.7768595041322314	0.7680981595092025	0.7770289499326768	0.7524038461538461	0.7844611528822055	0.8666364572144648	313	345	86	103	rf	{'n_estimators': 11, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'class_weight': 'balanced', 'ccp_alpha': 8.930674050346171e-07, 'n_jobs': 10}	ecfp-8-1024	1	4
0.532775131691069	0.7662337662337663	0.7579462102689487	0.766422979840269	0.7398568019093079	0.7769423558897243	0.8447401987110633	310	339	89	109	rf	{'n_estimators': 11, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'class_weight': 'balanced', 'ccp_alpha': 8.930674050346171e-07, 'n_jobs': 10}	ecfp-8-1024	2	4
0.5606935086639883	0.7804014167650531	0.7714987714987716	0.780563283042622	0.7566265060240964	0.7869674185463659	0.8745720327604725	314	347	85	101	rf	{'n_estimators': 11, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'class_weight': 'balanced', 'ccp_alpha': 8.930674050346171e-07, 'n_jobs': 10}	ecfp-8-1024	3	4
0.566740626148872	0.7825059101654847	0.7772397094430993	0.7826883420611792	0.75	0.8065326633165829	0.8606929737975593	321	341	77	107	rf	{'n_estimators': 11, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True, 'class_weight': 'balanced', 'ccp_alpha': 8.930674050346171e-07, 'n_jobs': 10}	ecfp-8-1024	4	4
-0.0038942784717201262	0.5029515938606848	0.4409030544488712	0.5001162195836306	0.4676056338028169	0.41708542713567837	0.49705655224899553	166	260	232	189	lightgbm	{'n_estimators': 464, 'class_weight': 'balanced', 'num_leaves': 842, 'max_depth': 5, 'subsample': 0.5449858289860279, 'colsample_bytree': 0.7940243627837316, 'min_split_gain': 0.000319927107155284, 'reg_alpha': 0.0002656575503349474, 'learning_rate': 2.8301795972190373e-05, 'verbose': -1, 'n_jobs': 10}	chemberta-2	0	5
-0.008207144944632651	0.4911452184179457	0.5173572228443449	0.48803642887923426	0.4676113360323887	0.5789473684210527	0.4838043770139635	231	185	168	263	lightgbm	{'n_estimators': 464, 'class_weight': 'balanced', 'num_leaves': 842, 'max_depth': 5, 'subsample': 0.5449858289860279, 'colsample_bytree': 0.7940243627837316, 'min_split_gain': 0.000319927107155284, 'reg_alpha': 0.0002656575503349474, 'learning_rate': 2.8301795972190373e-05, 'verbose': -1, 'n_jobs': 10}	chemberta-2	1	5
-0.03323605200243227	0.4923258559622196	0.38746438746438744	0.48217797191404227	0.44884488448844884	0.3408521303258145	0.4913623344074472	136	281	263	167	lightgbm	{'n_estimators': 464, 'class_weight': 'balanced', 'num_leaves': 842, 'max_depth': 5, 'subsample': 0.5449858289860279, 'colsample_bytree': 0.7940243627837316, 'min_split_gain': 0.000319927107155284, 'reg_alpha': 0.0002656575503349474, 'learning_rate': 2.8301795972190373e-05, 'verbose': -1, 'n_jobs': 10}	chemberta-2	2	5
-0.019873481542091835	0.4911452184179457	0.46592317224287483	0.4914011354591809	0.46078431372549017	0.47117794486215536	0.48901830469029717	188	228	211	220	lightgbm	{'n_estimators': 464, 'class_weight': 'balanced', 'num_leaves': 842, 'max_depth': 5, 'subsample': 0.5449858289860279, 'colsample_bytree': 0.7940243627837316, 'min_split_gain': 0.000319927107155284, 'reg_alpha': 0.0002656575503349474, 'learning_rate': 2.8301795972190373e-05, 'verbose': -1, 'n_jobs': 10}	chemberta-2	3	5
